1985,28,8,5
1986,28,10,10
1987,30,13,5
1988,48,18,3
1989,63,20,5
1990,85,28,5
1991,103,30,8
1992,128,40,13
1993,158,53,10
1994,200,63,23
1995,240,55,5
1996,290,68,20
1997,335,93,28
1998,390,95,30
1999,445,110,58
2000,480,118,28
2001,550,140,73
2002,595,148,55
2003,670,165,123
2004,695,190,78
2005,790,185,210
2006,750,205,285
2007,740,185,297
2008,775,233,190
2009,800,230,360
2010,775,135,380
2011,685,218,188
2012,750,180,400
2013,730,155,380
2014,595,175,8
